name,city,price,stars,rating,image_url,buffet,pool,sea,view,review
Hanoi Pearl Hotel,Hanoi,950000,4,4.5,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d6?auto=format&fit=crop&w=800&q=60,True,False,False,False,"Khách sạn thanh lịch tại khu phố cổ, gần hồ Hoàn Kiếm, dịch vụ thân thiện."
Apricot Hotel,Hanoi,1200000,5,4.7,https://images.unsplash.com/photo-1551776235-dde6d4829808?auto=format&fit=crop&w=800&q=60,True,True,False,True,"Khách sạn sang trọng với hồ bơi trên mái và phòng trưng bày nghệ thuật."
Golden Lotus Hotel,Hanoi,550000,3,3.5,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?auto=format&fit=crop&w=800&q=60,False,False,False,False,"Khách sạn 3 sao thoải mái, gần khu phố cổ, giá hợp lý."
Little Charm Hostel,Hanoi,250000,2,4.0,https://images.unsplash.com/photo-1505691723518-36a5ac3be353?auto=format&fit=crop&w=800&q=60,False,False,False,False,"Chỗ ở giá rẻ, thân thiện với du khách ba lô, sạch sẽ và ấm cúng."
Hanoi Central Star,Hanoi,350000,1,2.8,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=60,False,False,False,False,"Nhà nghỉ bình dân phù hợp cho kỳ nghỉ ngắn ngày."
Fusion Suites Danang,Da Nang,1100000,4,4.6,https://images.unsplash.com/photo-1582719471137-c3967ffb1b68?auto=format&fit=crop&w=800&q=60,True,True,True,True,"Khách sạn hiện đại cạnh biển, có spa và view đại dương."
InterContinental Danang,Da Nang,2300000,5,4.9,https://images.unsplash.com/photo-1590490360182-c33d57733427?auto=format&fit=crop&w=800&q=60,True,True,True,True,"Khu nghỉ dưỡng sang trọng với bãi biển riêng và dịch vụ đẳng cấp quốc tế."
Danang Riverside Hotel,Da Nang,750000,3,3.8,https://images.unsplash.com/photo-1611892440504-42a792e24d32?auto=format&fit=crop&w=800&q=60,True,True,False,True,"Khách sạn ven sông Hàn có hồ bơi và bữa sáng miễn phí."
Dana Pearl Inn,Da Nang,400000,2,3.2,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=800&q=60,False,False,False,True,"Khách sạn nhỏ gần sông, tiện nghi cơ bản."
Thanh Binh Motel,Da Nang,250000,1,2.5,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=60,False,False,False,False,"Nhà nghỉ giá rẻ phù hợp cho du khách tiết kiệm."
Sunrise Nha Trang,Nha Trang,1000000,4,4.4,https://images.unsplash.com/photo-1584132967334-10e028bd69f7?auto=format&fit=crop&w=800&q=60,True,True,True,True,"Phòng hướng biển và hồ bơi vô cực tuyệt đẹp."
Vinpearl Resort Nha Trang,Nha Trang,1800000,5,4.8,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=60,True,True,True,True,"Resort sang trọng sát biển với công viên nước riêng."
Liberty Central Nha Trang,Nha Trang,800000,3,4.1,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=800&q=60,True,True,False,False,"Khách sạn 3 sao thoải mái, vị trí trung tâm."
Blue Sea Hostel,Nha Trang,400000,2,3.0,https://images.unsplash.com/photo-1584132967334-10e028bd69f7?auto=format&fit=crop&w=800&q=60,False,False,True,True,"Nhà nghỉ đơn giản gần biển, giá hợp lý."
Happy Budget Inn,Nha Trang,220000,1,2.3,https://images.unsplash.com/photo-1501117716987-c8e1ecb210d6?auto=format&fit=crop&w=800&q=60,False,False,False,False,"Phòng giá rẻ phù hợp với du khách ba lô."
Saigon Prince Hotel,Ho Chi Minh,850000,4,4.3,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=800&q=60,True,True,False,False,"Khách sạn trung tâm gần chợ Bến Thành, dịch vụ tốt."
The Reverie Saigon,Ho Chi Minh,2500000,5,4.9,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=60,True,True,False,True,"Khách sạn 5 sao xa hoa phong cách Ý, đẳng cấp quốc tế."
Silverland Central,Ho Chi Minh,700000,3,3.6,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?auto=format&fit=crop&w=800&q=60,True,True,False,False,"Khách sạn duyên dáng với jacuzzi trên tầng thượng."
9 Hostel Saigon,Ho Chi Minh,350000,2,3.0,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=800&q=60,False,False,False,False,"Nhà nghỉ dành cho giới trẻ, tiện lợi ở Quận 1."
Phuong Nam Motel,Ho Chi Minh,200000,1,2.2,https://images.unsplash.com/photo-1505691723518-36a5ac3be353?auto=format&fit=crop&w=800&q=60,False,False,False,False,"Nhà nghỉ giá rẻ, phù hợp lưu trú ngắn hạn."
